id,index,commonNameZh,scientificName,slug,icon_path,photo_url,photo_source,matched_taxon,photo_found
fish-088,088,泥鯭,Jordanella floridae,flagfish,assets/fish/icons/generated/088.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668621658/large.jpg,inat_slug,Jordanella floridae,1
fish-089,089,三點雀鯛,,blackline-grouper,assets/fish/icons/generated/089.png,https://inaturalist-open-data.s3.amazonaws.com/photos/315467921/large.jpg,inat_obs_fill,Dascyllus aruanus,1
fish-090,090,天竺鯛,,yellow-nail,assets/fish/icons/generated/090.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670200308/large.jpg,inat_zh_taxon,Apogonoidei,1
fish-091,091,星點笛鯛,Lutjanus stellatus,sesame-grouper,assets/fish/icons/generated/091.png,https://inaturalist-open-data.s3.amazonaws.com/photos/631342707/large.jpg,inat_zh_taxon,Lutjanus stellatus,1
fish-092,092,橫帶小鯛,Cephalopholis miniata,flower-head-grouper,assets/fish/icons/generated/092.png,https://static.inaturalist.org/photos/13953557/large.jpg,inat_manual_092,Cephalopholis miniata,1
fish-093,093,沙鯛,Epinephelus lanceolatus,giant-grouper,assets/fish/icons/generated/093.png,https://static.inaturalist.org/photos/386562137/large.jpg,inat_obs,Epinephelus lanceolatus,1
fish-094,094,油鯛,Plectorhinchus flavomaculatus,spotted-sweetlips,assets/fish/icons/generated/094.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669422906/large.jpg,inat_slug,Plectorhinchus chaetodonoides,1
fish-095,095,火焰笛鯛,Lutjanus stellatus,star-snapper,assets/fish/icons/generated/095.png,https://inaturalist-open-data.s3.amazonaws.com/photos/631342707/large.jpg,inat_slug,Lutjanus stellatus,1
fish-096,096,牙點鯛,Selaroides leptolepis,yellowstripe-trevally,assets/fish/icons/generated/096.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668373905/large.jpg,inat_slug,Selaroides leptolepis,1
fish-097,097,白鯛,Sillaginodes punctatus,spotted-sillago,assets/fish/icons/generated/097.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Sillaginodes_punctatus_juvenile.jpg/330px-Sillaginodes_punctatus_juvenile.jpg,wiki_summary,Sillaginodes punctatus,1
fish-098,098,約翰笛鯛,Sebastes caurinus,rockfish,assets/fish/icons/generated/098.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669921780/large.jpg,inat_slug,Morone saxatilis,1
fish-099,099,紅樹笛鯛,,goatfish-wrasp,assets/fish/icons/generated/099.png,https://static.inaturalist.org/photos/94146480/large.jpg,inat_obs_fill,Lutjanus argentimaculatus,1
fish-100,100,紅鯛,Sparisoma rubripinne,croaker-gwak,assets/fish/icons/generated/100.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670063499/large.jpg,inat_zh_taxon,Sparisoma rubripinne,1
fish-101,101,羅素笛鯛,,red-three-knife,assets/fish/icons/generated/101.png,https://inaturalist-open-data.s3.amazonaws.com/photos/537061413/large.jpg,inat_obs_fill,Phallaceae,1
fish-102,102,赤鯛,Neoscorpis lithophilus,stone-bream,assets/fish/icons/generated/102.png,https://inaturalist-open-data.s3.amazonaws.com/photos/630890937/large.jpg,inat_slug,Neoscorpis lithophilus,1
fish-103,103,金線鯛,Ostorhinchus cyanosoma,french-threadfin,assets/fish/icons/generated/103.png,https://inaturalist-open-data.s3.amazonaws.com/photos/667650497/large.jpg,inat_zh_taxon,Ostorhinchus cyanosoma,1
fish-104,104,金線鯛王,Selar crumenophthalmus,bigeye-scad,assets/fish/icons/generated/104.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Fish4443_-_Flickr_-_NOAA_Photo_Library.jpg/330px-Fish4443_-_Flickr_-_NOAA_Photo_Library.jpg,wiki_summary,Selar crumenophthalmus,1
fish-105,105,鋸緣雀鯛,Ruvettus pretiosus,oilfish,assets/fish/icons/generated/105.png,https://inaturalist-open-data.s3.amazonaws.com/photos/627420174/large.jpg,inat_slug,Ruvettus pretiosus,1
fish-106,106,雀鯛,,ponyfishes-linmai,assets/fish/icons/generated/106.png,https://static.inaturalist.org/photos/670247124/large.jpg,inat_zh_taxon,Pomacentridae,1
fish-107,107,馬友鯛,,peanut-fish,assets/fish/icons/generated/107.png,https://inaturalist-open-data.s3.amazonaws.com/photos/575755854/large.jpg,inat_obs_fill,Tamiasciurus hudsonicus,1
fish-108,108,黃尾笛鯛,Dorosoma cepedianum,gizzard-shad,assets/fish/icons/generated/108.png,https://static.inaturalist.org/photos/668661082/large.jpg,inat_slug,Dorosoma cepedianum,1
fish-109,109,黃尾雀鯛,Pomacentrus chrysurus,ten-lined-scad,assets/fish/icons/generated/109.png,https://inaturalist-open-data.s3.amazonaws.com/photos/660086362/large.jpg,inat_zh_taxon,Pomacentrus chrysurus,1
fish-110,110,黃鰭鯛,Acanthopagrus latus,three-whisker-fish,assets/fish/icons/generated/110.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669289807/large.jpg,inat_zh_taxon,Acanthopagrus latus,1
