new_id,commonNameZh,localNameZh,scientificName,query_terms,supplement_url,supplement_source,supplement_title,source_page,status,download_path
057,鼠尾隆頭魚,老鼠斑衣,,鼠尾隆頭魚 | 老鼠斑衣,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/%E8%A5%BF%E5%A0%82%E6%96%87%E9%9B%86%28%E5%9B%9B%29.djvu/page1-960px-%E8%A5%BF%E5%A0%82%E6%96%87%E9%9B%86%28%E5%9B%9B%29.djvu.jpg,wikimedia_commons,File:西堂文集(四).djvu,https://commons.wikimedia.org/wiki/File%3A%E8%A5%BF%E5%A0%82%E6%96%87%E9%9B%86%28%E5%9B%9B%29.djvu,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-057.jpg
058,龍舟魚,龍舟,,龍舟魚 | 龍舟,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Eastern_District_Dragon_Boat_Race_-_2008-06-01_10h27m16s_SN201415.JPG/960px-Eastern_District_Dragon_Boat_Race_-_2008-06-01_10h27m16s_SN201415.JPG,wikipedia_zh,賽龍舟,https://zh.wikipedia.org/wiki/%E8%B3%BD%E9%BE%8D%E8%88%9F,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-058.jpg
061,青針魚,青針,,青針魚 | 青針,https://upload.wikimedia.org/wikipedia/commons/d/dd/Hound_600.jpg,wikipedia_zh,鶴鱵科,https://zh.wikipedia.org/wiki/%E9%B6%B4%E9%B1%B5%E7%A7%91,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-061.jpg
076,芝麻石斑,芝麻斑,,芝麻石斑 | 芝麻斑,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Fj%C3%A6regranitt3.JPG/960px-Fj%C3%A6regranitt3.JPG,wikipedia_zh,花崗岩,https://zh.wikipedia.org/wiki/%E8%8A%B1%E5%B4%97%E5%B2%A9,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-076.jpg
077,花頭石斑,花頭斑,,花頭石斑 | 花頭斑,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Parachromis_managuensis_2012_G1.jpg/960px-Parachromis_managuensis_2012_G1.jpg,wikipedia_zh,花身副麗魚,https://zh.wikipedia.org/wiki/%E8%8A%B1%E8%BA%AB%E5%89%AF%E9%BA%97%E9%AD%9A,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-077.jpg
080,黑線石斑,黑線斑,,黑線石斑 | 黑線斑,,,,,not_found,
089,三點雀鯛,三點姑娘魚,,三點雀鯛 | 三點姑娘魚,,,,,not_found,
094,油鯛,油甘魚,,油鯛 | 油甘魚,,,,,not_found,
104,金線鯛王,大紅衫,,金線鯛王 | 大紅衫,,,,,not_found,
105,鋸緣雀鯛,鋸緣姑娘魚,,鋸緣雀鯛 | 鋸緣姑娘魚,,,,,not_found,
107,馬友鯛,馬友鱲,,馬友鯛 | 馬友鱲,,,,,not_found,
111,黑沙鯛,黑沙鱲,,黑沙鯛 | 黑沙鱲,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Black_seabream%28side.JPG/960px-Black_seabream%28side.JPG,wikipedia_zh,黑棘鯛,https://zh.wikipedia.org/wiki/%E9%BB%91%E6%A3%98%E9%AF%9B,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-111.jpg
114,大眼竹筴魚,大眼竹筴,,大眼竹筴魚 | 大眼竹筴,https://upload.wikimedia.org/wikipedia/commons/d/d9/MaAji.jpg,wikipedia_zh,日本竹筴魚,https://zh.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E7%AB%B9%E7%AD%B4%E9%AD%9A,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-114.jpg
123,黃尾擬鰺,黃尾瓜,,黃尾擬鰺 | 黃尾瓜,https://upload.wikimedia.org/wikipedia/commons/a/af/Carangoides_bajad_2.jpg,wikipedia_zh,鰺科,https://zh.wikipedia.org/wiki/%E9%B0%BA%E7%A7%91,downloaded,C:\Users\s0829\fishergo\data\fish_audit5_corrected\wiki_baidu_supplement\photo_cache\fish-123.jpg
