id,index,commonNameZh,scientificName,icon_path,photo_url,photo_cache,icon_top_colors,photo_top_colors,color_distance,icon_complexity,photo_complexity,complexity_gap,risk_level
fish-035,035,花生魚,Scomberomorus commerson,assets/fish/icons/generated/035.png,https://inaturalist-open-data.s3.amazonaws.com/photos/218054923/large.jpg,data\fish_audit4\photo_cache\fish-035.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#507090,#5070B0,#307090",0.9942,19.83,3.55,16.28,高風險
fish-036,036,花鰹,Euthynnus affinis,assets/fish/icons/generated/036.png,https://inaturalist-open-data.s3.amazonaws.com/photos/490499838/large.jpg,data\fish_audit4\photo_cache\fish-036.jpg,"#F0F0F0,#D0D0D0,#9090B0","#305070,#305090,#507090",0.7657,43.10,21.31,21.79,中風險
fish-037,037,蛋斑隆頭魚,Thunnus tonggol,assets/fish/icons/generated/037.png,https://inaturalist-open-data.s3.amazonaws.com/photos/431555995/large.jpg,data\fish_audit4\photo_cache\fish-037.jpg,"#1070D0,#F0F0F0,#3090F0","#7090B0,#5090B0,#307090",0.9301,21.99,14.83,7.16,中風險
fish-038,038,角聲魚,Parastromateus niger,assets/fish/icons/generated/038.png,https://inaturalist-open-data.s3.amazonaws.com/photos/240696337/large.jpeg,data\fish_audit4\photo_cache\fish-038.jpg,"#F0F0F0,#101010,#103090","#909090,#707070,#B0B0B0",0.8081,46.18,32.18,14.01,中風險
fish-039,039,豹紋珊瑚鱸,Pampus argenteus,assets/fish/icons/generated/039.png,https://static.inaturalist.org/photos/22208601/large.jpeg,data\fish_audit4\photo_cache\fish-039.jpg,"#F03010,#F05010,#901010","#703030,#D0D0D0,#503030",0.7769,33.78,14.19,19.60,中風險
fish-040,040,連米銀腹魚,Diodon holocanthus,assets/fish/icons/generated/040.png,https://inaturalist-open-data.s3.amazonaws.com/photos/6493337/large.jpg,data\fish_audit4\photo_cache\fish-040.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#303010,#101010,#707030",0.9583,19.83,29.81,9.98,中風險
fish-041,041,里夫黃姑魚,Pterois volitans,assets/fish/icons/generated/041.png,https://static.inaturalist.org/photos/29368079/large.jpg,data\fish_audit4\photo_cache\fish-041.jpg,"#105090,#F0F0F0,#1050B0","#907050,#909050,#707050",0.8716,32.17,7.73,24.44,中風險
fish-042,042,金目鱸,Synanceia verrucosa,assets/fish/icons/generated/042.png,https://inaturalist-open-data.s3.amazonaws.com/photos/76659416/large.jpg,data\fish_audit4\photo_cache\fish-042.jpg,"#103070,#105090,#103050","#101010,#303030,#505030",0.7872,42.36,13.69,28.67,中風險
fish-043,043,金線馬頭魚,Scorpaena porcus,assets/fish/icons/generated/043.png,https://inaturalist-open-data.s3.amazonaws.com/photos/51396772/large.jpg,data\fish_audit4\photo_cache\fish-043.jpg,"#501090,#7030B0,#F0F0F0","#301010,#503010,#101010",0.8756,38.98,49.87,10.89,中風險
fish-044,044,銀鯡,Hypanus americanus,assets/fish/icons/generated/044.png,https://inaturalist-open-data.s3.amazonaws.com/photos/5856356/large.jpg,data\fish_audit4\photo_cache\fish-044.jpg,"#90F0F0,#D0F0F0,#F0F0F0","#90B0B0,#90B090,#B0B0B0",0.8914,26.59,3.71,22.88,中風險
