id,index,commonNameZh,scientificName,icon_path,photo_url,photo_cache,icon_top_colors,photo_top_colors,color_distance,icon_complexity,photo_complexity,complexity_gap,risk_level
fish-092,092,橫帶小鯛,,assets/fish/icons/generated/092.png,https://inaturalist-open-data.s3.amazonaws.com/photos/429002392/large.jpeg,data\fish_audit4\photo_cache\fish-092.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#505050,#305050,#705050",0.9945,19.85,5.46,14.39,高風險
fish-093,093,沙鯛,Epinephelus lanceolatus,assets/fish/icons/generated/093.png,https://static.inaturalist.org/photos/386562137/large.jpg,data\fish_audit4\photo_cache\fish-093.jpg,"#F0F0F0,#D0F0F0,#90D0F0","#90B0F0,#9090D0,#B0D0F0",0.7950,34.40,14.45,19.94,中風險
fish-094,094,油鯛,Plectorhinchus flavomaculatus,assets/fish/icons/generated/094.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669422906/large.jpg,data\fish_audit4\photo_cache\fish-094.jpg,"#F0F0F0,#1070D0,#1050B0","#3070B0,#307090,#5090B0",0.9688,35.99,16.31,19.67,高風險
fish-095,095,火焰笛鯛,Lutjanus stellatus,assets/fish/icons/generated/095.png,https://inaturalist-open-data.s3.amazonaws.com/photos/631342707/large.jpg,data\fish_audit4\photo_cache\fish-095.jpg,"#F0F0F0,#10B0F0,#1070D0","#70D0B0,#70B090,#70D090",0.9950,18.30,7.01,11.29,高風險
fish-096,096,牙點鯛,Selaroides leptolepis,assets/fish/icons/generated/096.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668373905/large.jpg,data\fish_audit4\photo_cache\fish-096.jpg,"#F0F0F0,#D0D0D0,#103050","#D0D0D0,#909090,#B0B0B0",0.7564,16.39,21.57,5.19,中風險
fish-097,097,白鯛,Sillaginodes punctatus,assets/fish/icons/generated/097.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Sillaginodes_punctatus_juvenile.jpg/330px-Sillaginodes_punctatus_juvenile.jpg,data\fish_audit4\photo_cache\fish-097.jpg,"#F0F0F0,#1050B0,#D0D0D0","#909050,#909070,#707050",0.9755,37.47,20.95,16.52,高風險
fish-098,098,約翰笛鯛,Sebastes caurinus,assets/fish/icons/generated/098.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669921780/large.jpg,data\fish_audit4\photo_cache\fish-098.jpg,"#7030B0,#301070,#501090","#D0D0D0,#705030,#B0B0B0",0.8432,38.55,25.57,12.98,中風險
fish-099,099,紅樹笛鯛,,assets/fish/icons/generated/099.png,https://static.inaturalist.org/photos/94146480/large.jpg,data\fish_audit4\photo_cache\fish-099.jpg,"#301050,#301070,#B01010","#103050,#707070,#305050",0.9278,40.38,19.24,21.14,中風險
fish-100,100,紅鯛,Sparisoma rubripinne,assets/fish/icons/generated/100.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670063499/large.jpg,data\fish_audit4\photo_cache\fish-100.jpg,"#1070D0,#1050B0,#103070","#709070,#507050,#507070",0.8411,33.43,12.24,21.19,中風險
fish-101,101,羅素笛鯛,,assets/fish/icons/generated/101.png,https://inaturalist-open-data.s3.amazonaws.com/photos/537061413/large.jpg,data\fish_audit4\photo_cache\fish-101.jpg,"#F0F0F0,#105090,#1050B0","#101010,#303030,#90B090",0.7877,38.68,37.53,1.14,中風險
fish-102,102,赤鯛,Neoscorpis lithophilus,assets/fish/icons/generated/102.png,https://inaturalist-open-data.s3.amazonaws.com/photos/630890937/large.jpg,data\fish_audit4\photo_cache\fish-102.jpg,"#F0F0F0,#1070D0,#1050B0","#907050,#907070,#909070",0.8360,35.30,18.49,16.81,中風險
fish-103,103,金線鯛,Ostorhinchus cyanosoma,assets/fish/icons/generated/103.png,https://inaturalist-open-data.s3.amazonaws.com/photos/667650497/large.jpg,data\fish_audit4\photo_cache\fish-103.jpg,"#D0D0D0,#B0B0B0,#F0F0F0","#103010,#101010,#303010",0.9573,33.53,18.87,14.67,中風險
fish-104,104,金線鯛王,Selar crumenophthalmus,assets/fish/icons/generated/104.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Fish4443_-_Flickr_-_NOAA_Photo_Library.jpg/330px-Fish4443_-_Flickr_-_NOAA_Photo_Library.jpg,data\fish_audit4\photo_cache\fish-104.jpg,"#F0F0F0,#105090,#B0B0B0","#B0B0D0,#90B0D0,#707050",0.8945,33.25,15.72,17.54,中風險
fish-105,105,鋸緣雀鯛,Ruvettus pretiosus,assets/fish/icons/generated/105.png,https://inaturalist-open-data.s3.amazonaws.com/photos/627420174/large.jpg,data\fish_audit4\photo_cache\fish-105.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#101010,#505050,#303030",0.9772,19.80,0.25,19.55,高風險
fish-106,106,雀鯛,,assets/fish/icons/generated/106.png,https://static.inaturalist.org/photos/670247124/large.jpg,data\fish_audit4\photo_cache\fish-106.jpg,"#F0F0F0,#101010,#1050B0","#B0B0B0,#90B0B0,#9090B0",0.9961,3.41,2.57,0.84,中風險
fish-107,107,馬友鯛,,assets/fish/icons/generated/107.png,https://inaturalist-open-data.s3.amazonaws.com/photos/575755854/large.jpg,data\fish_audit4\photo_cache\fish-107.jpg,"#1070D0,#F0F0F0,#D0F0F0","#303010,#505030,#707050",0.9553,29.87,49.10,19.23,中風險
fish-108,108,黃尾笛鯛,Dorosoma cepedianum,assets/fish/icons/generated/108.png,https://static.inaturalist.org/photos/668661082/large.jpg,data\fish_audit4\photo_cache\fish-108.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#707070,#505050,#909090",0.9953,19.86,19.24,0.62,中風險
fish-109,109,黃尾雀鯛,Pomacentrus chrysurus,assets/fish/icons/generated/109.png,https://inaturalist-open-data.s3.amazonaws.com/photos/660086362/large.jpg,data\fish_audit4\photo_cache\fish-109.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#707070,#505050,#303030",0.9700,19.77,34.51,14.75,中風險
fish-110,110,黃鰭鯛,Acanthopagrus latus,assets/fish/icons/generated/110.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669289807/large.jpg,data\fish_audit4\photo_cache\fish-110.jpg,"#F0F0F0,#D0D0D0,#103070","#909090,#707070,#707090",0.9027,43.24,7.57,35.67,高風險
fish-111,111,黑沙鯛,,assets/fish/icons/generated/111.png,https://inaturalist-open-data.s3.amazonaws.com/photos/89762755/large.jpeg,data\fish_audit4\photo_cache\fish-111.jpg,"#F0F0F0,#303030,#101010","#707070,#909090,#B0B0B0",0.8159,12.67,25.83,13.16,中風險
fish-112,112,黑鯛,Microspathodon chrysurus,assets/fish/icons/generated/112.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668022126/large.jpg,data\fish_audit4\photo_cache\fish-112.jpg,"#303030,#D0D0D0,#103070","#505050,#909070,#B0B090",0.5833,39.75,20.41,19.34,低風險
fish-113,113,印度鯖,,assets/fish/icons/generated/113.png,https://inaturalist-open-data.s3.amazonaws.com/photos/6076438/large.jpg,data\fish_audit4\photo_cache\fish-113.jpg,"#1050B0,#30B0F0,#1090F0","#F0F0F0,#303030,#507050",0.8280,33.86,20.48,13.38,中風險
fish-114,114,大眼竹筴魚,,assets/fish/icons/generated/114.png,https://inaturalist-open-data.s3.amazonaws.com/photos/618095302/large.jpg,data\fish_audit4\photo_cache\fish-114.jpg,"#F0F0F0,#101030,#1070D0","#909090,#707070,#B0B0B0",0.9379,5.14,35.30,30.16,高風險
fish-115,115,大眼竹筴魚王,Eucinostomus gula,assets/fish/icons/generated/115.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668487500/large.jpg,data\fish_audit4\photo_cache\fish-115.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#707070,#505050,#909070",0.9623,19.79,18.14,1.65,中風險
fish-116,116,橙鰭銀腹鯧鰺,,assets/fish/icons/generated/116.png,https://inaturalist-open-data.s3.amazonaws.com/photos/317147086/large.jpg,data\fish_audit4\photo_cache\fish-116.jpg,"#F0F0F0,#50D0F0,#90F0F0","#303030,#505050,#B0B0B0",0.7034,32.37,38.11,5.74,低風險
fish-117,117,紫胸馬加鰆,Labrus viridis,assets/fish/icons/generated/117.png,https://inaturalist-open-data.s3.amazonaws.com/photos/660187759/large.jpg,data\fish_audit4\photo_cache\fish-117.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#303050,#303030,#103030",0.9003,19.90,27.84,7.94,中風險
fish-118,118,細鱗竹筴魚,,assets/fish/icons/generated/118.png,https://inaturalist-open-data.s3.amazonaws.com/photos/607742093/large.jpg,data\fish_audit4\photo_cache\fish-118.jpg,"#F0F0F0,#D0F0F0,#B0F0F0","#303050,#303030,#101030",0.8423,29.47,11.89,17.59,中風險
fish-119,119,金鰭鰺,,assets/fish/icons/generated/119.png,https://static.inaturalist.org/photos/462318141/large.jpeg,data\fish_audit4\photo_cache\fish-119.jpg,"#301050,#301070,#501090","#303030,#505050,#707070",0.7780,43.48,39.58,3.90,中風險
fish-120,120,銀腹鯧鰺,Caesio cuning,assets/fish/icons/generated/120.png,https://inaturalist-open-data.s3.amazonaws.com/photos/666433092/large.jpg,data\fish_audit4\photo_cache\fish-120.jpg,"#90F0F0,#B0F0F0,#F0F0F0","#505030,#909090,#707050",0.9258,22.29,30.33,8.03,中風險
fish-121,121,長尾吞拿,,assets/fish/icons/generated/121.png,https://inaturalist-open-data.s3.amazonaws.com/photos/621308388/large.jpg,data\fish_audit4\photo_cache\fish-121.jpg,"#F0F0F0,#B07010,#D09010","#B0B0B0,#D0D0D0,#909090",0.7179,47.83,42.26,5.57,低風險
fish-122,122,馬拉巴鰺,Platycaranx malabaricus,assets/fish/icons/generated/122.png,https://inaturalist-open-data.s3.amazonaws.com/photos/615111969/large.jpg,data\fish_audit4\photo_cache\fish-122.jpg,"#301070,#D0D0D0,#F0F0F0","#909090,#F0F0F0,#D0D0D0",0.3995,45.12,35.42,9.70,低風險
fish-123,123,黃尾擬鰺,,assets/fish/icons/generated/123.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670142923/large.jpg,data\fish_audit4\photo_cache\fish-123.jpg,"#D0F0F0,#D0D0F0,#F0F0F0","#707070,#909090,#B0B0B0",0.9740,19.86,19.78,0.08,中風險
fish-124,124,黃尾竹筴魚,,assets/fish/icons/generated/124.png,https://static.inaturalist.org/photos/660597909/large.jpg,data\fish_audit4\photo_cache\fish-124.jpg,"#10D0F0,#50F0F0,#70F0F0","#505050,#707070,#B0B0B0",0.8916,30.37,44.61,14.24,中風險
fish-125,125,黃條鰺,Rhinomuraena quaesita,assets/fish/icons/generated/125.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Ribbon_Moray_%28Rhinomuraena_quaesita%29_%286052858389%29_%28cropped%29.jpg/330px-Ribbon_Moray_%28Rhinomuraena_quaesita%29_%286052858389%29_%28cropped%29.jpg,data\fish_audit4\photo_cache\fish-125.jpg,"#F0F0F0,#D0F0F0,#101030","#907050,#101010,#707050",0.9078,36.87,30.08,6.79,中風險
