new_id,commonNameZh,localNameZh,scientificName,fishType,bodyShape,rarityRank,photo_url,photo_source,icon_path
071,康吉鰻,星鰻,Conger conger,底棲近岸類,細長型,,https://inaturalist-open-data.s3.amazonaws.com/photos/196988613/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/071.png
072,獅子魚,火魚,Pterois volitans,毒棘礁棲類,棘鰭型,,https://static.inaturalist.org/photos/29368079/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/072.png
073,石頭魚,石狗公,Synanceia verrucosa,毒棘礁棲類,棘鰭型,,https://inaturalist-open-data.s3.amazonaws.com/photos/76659416/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/073.png
074,蠍子魚,蠍子魚,Scorpaena porcus,毒棘礁棲類,棘鰭型,,https://inaturalist-open-data.s3.amazonaws.com/photos/51396772/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/074.png
075,橙點石斑,紅斑,Epinephelus coioides,石斑類,粗壯型,,https://static.inaturalist.org/photos/421816214/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/075.png
076,芝麻石斑,芝麻斑,,石斑類,粗壯型,,,not_found,assets/fish/icons/generated/076.png
077,花頭石斑,花頭斑,,石斑類,粗壯型,,,not_found,assets/fish/icons/generated/077.png
078,香港石斑,青斑,Epinephelus akaara,石斑類,粗壯型,,https://static.inaturalist.org/photos/67181260/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/078.png
079,馬拉巴石斑,老虎斑,Epinephelus malabaricus,石斑類,粗壯型,,https://static.inaturalist.org/photos/25405443/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/079.png
080,黑線石斑,黑線斑,,石斑類,粗壯型,,,not_found,assets/fish/icons/generated/080.png
081,龍膽石斑,龍躉,Epinephelus lanceolatus,石斑類,粗壯型,,https://static.inaturalist.org/photos/386562137/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/081.png
082,箱魨,箱魨,Ostracion cubicum,礁棲觀賞類,圓筒型,,https://inaturalist-open-data.s3.amazonaws.com/photos/228340980/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/082.png
083,扳機魚,炮彈魚,Balistoides viridescens,礁棲觀賞類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/91080390/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/083.png
084,橙點馬面魨,馬面,Cantherhines pullus,礁棲觀賞類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/599527615/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/084.png
085,長帆馬面魨,長帆馬面,Stephanolepis cirrhifer,礁棲觀賞類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/454159082/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/085.png
086,蝶魚,蝴蝶魚,Chaetodon marleyi,礁棲觀賞類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/359692990/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/086.png
087,鸚哥魚,鸚哥,Sparisoma viride,礁棲觀賞類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/451417243/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/087.png
088,泥鯭,泥鯭,Siganus fuscescens,近岸草食類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/459084177/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/088.png
089,三點雀鯛,三點姑娘魚,,鯛科/笛鯛類,標準紡錘型,,,not_found,assets/fish/icons/generated/089.png
090,天竺鯛,天竺鯛,Apogon imberbis,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/54291487/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/090.png
091,星點笛鯛,星點紅友,Lutjanus stellatus,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/314617014/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/091.png
092,橫帶小鯛,橫帶小鱲,Labrus viridis,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/225545021/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/092.png
093,沙鯛,沙鱲,,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/156153979/large.jpg,inaturalist_by_common,assets/fish/icons/generated/093.png
094,油鯛,油甘魚,,鯛科/笛鯛類,標準紡錘型,,,not_found,assets/fish/icons/generated/094.png
095,火焰笛鯛,火焰紅友,Etelis coruscans,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/381328073/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/095.png
096,牙點鯛,牙點鱲,,鯛科/笛鯛類,標準紡錘型,,https://static.inaturalist.org/photos/55710354/large.jpeg,inaturalist_by_common,assets/fish/icons/generated/096.png
097,白鯛,白鱲,Diplodus lineatus,鯛科/笛鯛類,標準紡錘型,,https://static.inaturalist.org/photos/28259662/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/097.png
098,約翰笛鯛,黃雞魚,,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/6200097/large.jpg,inaturalist_by_common,assets/fish/icons/generated/098.png
099,紅樹笛鯛,紅衫公,Lutjanus argentimaculatus,鯛科/笛鯛類,標準紡錘型,,https://static.inaturalist.org/photos/224966772/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/099.png
100,紅鯛,紅鱲,Pagrus major,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/436455057/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/100.png
101,羅素笛鯛,紅友,Lutjanus russellii,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/83501289/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/101.png
102,赤鯛,赤鱲,,鯛科/笛鯛類,標準紡錘型,,https://static.inaturalist.org/photos/54968915/large.jpeg,inaturalist_by_common,assets/fish/icons/generated/102.png
103,金線鯛,紅衫,Rhabdosargus sarba,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/452695506/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/103.png
104,金線鯛王,大紅衫,,鯛科/笛鯛類,標準紡錘型,,,not_found,assets/fish/icons/generated/104.png
105,鋸緣雀鯛,鋸緣姑娘魚,,鯛科/笛鯛類,標準紡錘型,,,not_found,assets/fish/icons/generated/105.png
106,雀鯛,姑娘魚,Chromis chromis,鯛科/笛鯛類,標準紡錘型,,https://static.inaturalist.org/photos/343571122/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/106.png
107,馬友鯛,馬友鱲,,鯛科/笛鯛類,標準紡錘型,,,not_found,assets/fish/icons/generated/107.png
108,黃尾笛鯛,黃尾紅友,Caesio cuning,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/244458288/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/108.png
109,黃尾雀鯛,黃尾姑娘魚,Microspathodon chrysurus,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/248693932/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/109.png
110,黃鰭鯛,黃腳鱲,Acanthopagrus latus,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/41426256/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/110.png
111,黑沙鯛,黑沙鱲,,鯛科/笛鯛類,標準紡錘型,,,not_found,assets/fish/icons/generated/111.png
112,黑鯛,烏頭鱲,Spondyliosoma cantharus,鯛科/笛鯛類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/531386046/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/112.png
113,印度鯖,鯖魚,Rastrelliger kanagurta,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/254005025/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/113.png
114,大眼竹筴魚,大眼竹筴,,鰺科/洄游類,標準紡錘型,,,not_found,assets/fish/icons/generated/114.png
115,大眼竹筴魚王,竹筴王,Selar crumenophthalmus,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/156581317/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/115.png
116,橙鰭銀腹鯧鰺,黃腳鯧鰺,Photopectoralis bindus,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/425931931/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/116.png
117,紫胸馬加鰆,馬加鰆,Rhinomuraena quaesita,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/50912229/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/117.png
118,細鱗竹筴魚,細鱗竹筴,Alepes apercna,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/400119177/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/118.png
119,金鰭鰺,金鰭瓜,Gnathanodon speciosus,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/361844564/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/119.png
120,銀腹鯧鰺,鯧鰺,Leiognathus equula,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/72776138/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/120.png
121,長尾吞拿,吞拿,Thunnus tonggol,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/431555995/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/121.png
122,馬拉巴鰺,白瓜,Platycaranx malabaricus,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/396455734/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/122.png
123,黃尾擬鰺,黃尾瓜,,鰺科/洄游類,標準紡錘型,,,not_found,assets/fish/icons/generated/123.png
124,黃尾竹筴魚,竹筴,Trachurus novaezelandiae,鰺科/洄游類,標準紡錘型,,https://inaturalist-open-data.s3.amazonaws.com/photos/14760631/large.jpeg,inaturalist_by_sci,assets/fish/icons/generated/124.png
125,黃條鰺,黃條瓜,Selaroides leptolepis,鰺科/洄游類,標準紡錘型,,https://static.inaturalist.org/photos/418370025/large.jpg,inaturalist_by_sci,assets/fish/icons/generated/125.png
