id,name_zh,name_en,type,is_island,district,radius_meters,source,lat,lon,geo_method,geo_note
P028,白沙灣第二碼頭,白沙灣第二碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.362255895,114.259982846,map.gov.hk locationSearch + geodetic transform,
P029,布袋澳二號碼頭,布袋澳二號碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.276632871,114.295513056,map.gov.hk locationSearch + geodetic transform,
P030,西貢新公眾碼頭,西貢新公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.3812119,114.274491497,map.gov.hk locationSearch + geodetic transform,
P031,西貢公眾碼頭,西貢公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.381518414,114.275355924,map.gov.hk locationSearch + geodetic transform,
P032,大頭洲碼頭,大頭洲碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.376860483,114.321086432,map.gov.hk locationSearch + geodetic transform,
P033,調景嶺碼頭,調景嶺碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.306986252,114.264812343,map.gov.hk locationSearch + geodetic transform,
P034,早禾坑碼頭,早禾坑碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.392165813,114.288589804,map.gov.hk locationSearch + geodetic transform,
P035,東龍洲北碼頭,東龍洲北碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.258221128,114.293120604,map.gov.hk locationSearch + geodetic transform,
P036,東龍洲公眾碼頭,東龍洲公眾碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.254647937,114.288926611,map.gov.hk locationSearch + geodetic transform,
P037,鹽田仔碼頭,鹽田仔碼頭,pier,false,西貢,50,TLB-1-c1.pdf,22.377346985,114.300666879,map.gov.hk locationSearch + geodetic transform,
P038,馬料水渡輪碼頭,馬料水渡輪碼頭,pier,false,沙田,50,TLB-1-c1.pdf,22.417169384,114.214423872,map.gov.hk locationSearch + geodetic transform,
P039,烏溪沙碼頭,烏溪沙碼頭,pier,false,沙田,50,TLB-1-c1.pdf,22.429472166,114.23404866,map.gov.hk locationSearch + geodetic transform,
P040,赤柱卜公碼頭,赤柱卜公碼頭,pier,false,,50,TLB-1-c1.pdf,22.217341293,114.210170759,map.gov.hk locationSearch + geodetic transform,
P041,聖士提反灣 (南 )碼頭,聖士提反灣 (南 )碼頭,pier,false,,50,TLB-1-c1.pdf,22.212012294,114.214223499,map.gov.hk locationSearch + geodetic transform,
P042,大潭灣碼頭,大潭灣碼頭,pier,false,,50,TLB-1-c1.pdf,22.238830395,114.225783799,map.gov.hk locationSearch + geodetic transform,
P043,高流灣公眾碼頭,高流灣公眾碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.458563997,114.360684187,map.gov.hk locationSearch + geodetic transform,
P044,荔枝莊碼頭,荔枝莊碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.456689462,114.299678248,map.gov.hk locationSearch + geodetic transform,
P045,三門仔村碼頭,三門仔村碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.455476881,114.213239195,map.gov.hk locationSearch + geodetic transform,
P046,大美督一號碼頭,大美督一號碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.470443839,114.232510837,map.gov.hk locationSearch + geodetic transform,
P047,大埔鐵路碼頭,大埔鐵路碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.442549223,114.18398542,map.gov.hk locationSearch + geodetic transform,
P048,塔門碼頭,塔門碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.470360017,114.358639868,map.gov.hk locationSearch + geodetic transform,
P049,東平洲公眾碼頭,東平洲公眾碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.544948259,114.433370247,map.gov.hk locationSearch + geodetic transform,
P050,黃石公眾碼頭,黃石公眾碼頭,pier,false,大埔,50,TLB-1-c1.pdf,22.435588638,114.337107171,map.gov.hk locationSearch + geodetic transform,
P051,深井 釣魚灣碼頭,深井 釣魚灣碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,22.365087287,114.058005533,map.gov.hk locationSearch + geodetic transform,
P052,深井公眾碼頭,深井公眾碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,22.364833739,114.057063965,map.gov.hk locationSearch + geodetic transform,
P053,大排咀碼頭,大排咀碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,22.342467938,114.060985515,map.gov.hk locationSearch + geodetic transform,
P054,荃灣渡輪碼頭 (西鐵 ),荃灣渡輪碼頭 (西鐵 ),pier,false,荃灣,50,TLB-1-c1.pdf,22.366724837,114.110725295,map.gov.hk locationSearch + geodetic transform,
P055,油柑頭碼頭,油柑頭碼頭,pier,false,荃灣,50,TLB-1-c1.pdf,22.368227496,114.098529649,map.gov.hk locationSearch + geodetic transform,
P056,嘉道理碼頭,嘉道理碼頭,pier,false,屯門,50,TLB-1-c1.pdf,22.377121163,113.980024506,map.gov.hk locationSearch + geodetic transform,
P057,九龍公眾碼頭,九龍公眾碼頭,pier,false,油尖旺,50,TLB-1-c1.pdf,22.293003496,114.17031435,map.gov.hk locationSearch + geodetic transform,
I001,丫洲,A Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.439373328,114.222162427,map.gov.hk locationSearch + geodetic transform,
I002,鴉洲,A Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.52775673,114.210886311,map.gov.hk locationSearch + geodetic transform,
I003,北長洲石,Adamasta Rock,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.223611623,114.023081361,map.gov.hk locationSearch + geodetic transform,
I004,鴨洲尾白墩排,Ap Chau Mei Pak Tun Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.549586947,114.269748568,map.gov.hk locationSearch + geodetic transform,
I005,鴨洲白墩排,Ap Chau Pak Tun Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.550563531,114.267454818,map.gov.hk locationSearch + geodetic transform,
I006,鴨洲,Ap Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.551962208,114.269254329,map.gov.hk locationSearch + geodetic transform,
I007,鴨脷洲,Ap Lei Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.240434767,114.155261574,map.gov.hk locationSearch + geodetic transform,
I008,鴨脷排,Ap Lei Pai,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.231224087,114.160597921,map.gov.hk locationSearch + geodetic transform,
I009,鴨籮春,Ap Lo Chun,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.552461357,114.264831068,map.gov.hk locationSearch + geodetic transform,
I010,鴨蛋排,Ap Tan Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.553093106,114.265512024,map.gov.hk locationSearch + geodetic transform,
I011,鴨兜排,Ap Tau Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.535769063,114.272257064,map.gov.hk locationSearch + geodetic transform,
I012,匙洲,Bay Islet,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.335632974,114.334148532,map.gov.hk locationSearch + geodetic transform,
