id,name,clean_name,type,is_island,district,radius_meters,lat,lon,geo_display,source
island_146,Nga Ying Pai (),Nga Ying Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_147,Ngam Hau Shek (),Ngam Hau Shek,island,true,Tsuen Wan,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_148,Ngan Chau (),Ngan Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_149,Ngau Shi Pui (),Ngau Shi Pui,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_150,Ngau Tau Pai (),Ngau Tau Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_151,"Ngo Mei Chau (, Crescent Island)",Ngo Mei Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_152,Ninepin Group (),Ninepin Group,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_153,North Ninepin Island (),North Ninepin Island,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_154,Sai Chau Mei (),Sai Chau Mei,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_155,Shue Long Chau (),Shue Long Chau,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_156,Tai Chau (),Tai Chau,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_157,Tai Chau Mei (),Tai Chau Mei,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_158,Tuen Chau Chai (),Tuen Chau Chai,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_159,Pak Chau (),Pak Chau,island,true,Tuen Mun,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_160,Pak Ka Chau (),Pak Ka Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_161,Pak Ma Tsui Pai (),Pak Ma Tsui Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_162,Pak Pai (),Pak Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_163,"Pak Sha Chau (, Round Island)",Pak Sha Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_164,Pat Ka Chau (),Pat Ka Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_165,Peaked Hill (),Peaked Hill,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_166,Peng Chau (),Peng Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_167,Pearl Island (),Pearl Island,island,true,Tuen Mun,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_168,Pin Chau (),Pin Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_169,Ping Chau (),Ping Chau,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_170,Ping Min Chau (),Ping Min Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_171,Po Pin Chau (),Po Pin Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_172,Po Toi Islands (),Po Toi Islands,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_173,Castle Rock (),Castle Rock,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_174,"Beaufort Island (, Lo Chau)",Beaufort Island,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_175,"Mat Chau (), an islet off Po Toi Island","Mat Chau , an islet off Po Toi Island",island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_176,"Mat Chau Pai (), an islet off Mat Chau","Mat Chau Pai , an islet off Mat Chau",island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_177,Po Toi Island (),Po Toi Island,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_178,Sai Pai (),Sai Pai,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_179,San Pai (),San Pai,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_180,Sung Kong (),Sung Kong,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_181,Tai Pai (),Tai Pai,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_182,Waglan Island (),Waglan Island,island,true,,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_183,Po Yue Pai (),Po Yue Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_184,Pun Shan Shek (),Pun Shan Shek,island,true,Tsuen Wan,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_185,Pyramid Rock (),Pyramid Rock,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_186,Round Island (),Round Island,island,true,Southern,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_187,Sai Ap Chau (),Sai Ap Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_188,Sam Pai (),Sam Pai,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_189,Sam Pui Chau (),Sam Pui Chau,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_190,Sha Chau (),Sha Chau,island,true,Tuen Mun,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_191,Sha Pai (),Sha Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_192,"Sha Tong Hau (, Bluff Island)",Sha Tong Hau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
