id,name_zh,name_en,type,is_island,district,radius_meters,source
I117,三杯酒,Sam Pui Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I118,沙洲,Sha Chau,island,true,Tuen Mun,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I119,沙排,Sha Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I120,沙塘口山,Sha Tong Hau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I121,深水排,Sham Shui Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I122,筲箕排,Shau Kei Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I123,石洲,Shek Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I124,石鼓洲,Shek Kwu Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I125,石牛洲,Shek Ngau Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I126,牛尾洲,Shelter Island,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I127,雙排,Sheung Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I128,水浸咀排,Shui Cham Tsui Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I129,水排,Shui Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I130,小交椅洲,Siu Kau Yi Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I131,小稔洲,Siu Nim Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I132,小鏟洲,Siu Tsan Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I133,索罟群島,Soko Islands,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I134,青洲,Steep Island,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I135,周公島,Sunshine Island,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I136,打蠔排,Ta Ho Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I137,大洲,Tai Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I138,大利,Tai Lei,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I139,大稔洲,Tai Nim Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I140,大澳,Tai O,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I141,大排,Tai Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I142,大頭洲,Tai Tau Chau (Sai Kung District),island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I143,大頭洲,Tai Tau Chau (Southern District),island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I144,大鏟洲,Tai Tsan Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I145,燈洲,Tang Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I146,燈籠洲,Tang Lung Chau,island,true,Tsuen Wan,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I147,塔門,Tap Mun Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I148,頭洲,Tau Chau,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I149,磨刀洲,The Brothers,island,true,Tuen Mun,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I150,鐵蔘洲,Tit Cham Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I151,鐵樹排,Tit Shue Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I152,吊鐘洲,Tiu Chung Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I153,吊鐘排,Tiu Chung Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I154,塘口排,Tong Hau Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I155,劏人排,Tong Yan Pai,island,true,Southern,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I156,伙頭墳洲,Town Island,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I157,大癩痢,Trio Island,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I158,Tsim Chau Group,Tsim Chau Group,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I159,青洲,Tsing Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I160,青衣島,Tsing Yi Island,island,true,Kwai Tsing,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I161,咀排,Tsui Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I162,斷頭洲,Tuen Tau Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I163,東龍洲,Tung Lung Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I164,棟心洲,Tung Sam Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I165,灣仔排,Wai Chau Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I166,桅夾排,Wai Kap Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
